Kraftwerk;Unternehmen;Bundesland;MWel_brutto;Status;Inbetriebnahme;CO2_Emissionen_t_Jahr;Carbon_Removal_Euro_Jahr;Carbon_Removal_Euro_20_Jahre;Mrd. Euro 20 Jahre;Zustaendige_Behoerde;UVP_Link
Kraftwerk Mehrum;EPH;Niedersachsen;1200;Vorbescheid liegt vor;;2300400;1150200000;23004000000;23,00 Mrd. Euro;Gewerbeaufsichtsamt Braunschweig;https://www.uvp-verbund.de/trefferanzeige?docuuid=8aa50135-8a84-4107-8510-4ef885430b90
Kraftwerk Jänschwalde;LEAG;Brandenburg;900;in Genehmigung;06-2029;1725300;862650000;17253000000;17,25 Mrd. Euro;Landesamt für Umwelt Brandenburg;https://www.leag.de/de/gigawattfactory/h2-kraftwerke/
Kraftwerk Bexbach;Iqony;Saarland;900;in Planung;;1725300;862650000;17253000000;17,25 Mrd. Euro;Ministerium für Umwelt, Klima, Mobilität, Agrar und Verbraucherschutz;https://www.iqony.energy/h2-ready-gaskraftwerke
Kraftwerk Staudinger 8;Uniper;Hessen;890;in Genehmigung;22.07.1905;1706130;853065000;17061300000;17,06 Mrd. Euro;Regierungspräsidium Darmstadt;https://www.uvp-verbund.de/trefferanzeige?docuuid=78c2616f-ad0f-4542-922b-7a86c8cbb974
Kraftwerk Bergkamen;Iqony;Nordrhein-Westfalen;880;in Genehmigung;31.12.2030;1686960;843480000;16869600000;16,87 Mrd. Euro;Bezirksregierung Arnsberg;https://www.uvp-verbund.de/trefferanzeige?docuuid=833afc7b-b23b-4338-9df3-cbf0592c3434
Kraftwerk Lippendorf;LEAG;Sachsen;875;Teilgenehmigung liegt vor;30.04.2029;1677375;838687500;16773750000;16,77 Mrd. Euro;Landesdirektion Sachsen;https://www.uvp-verbund.de/trefferanzeige?docuuid=64322a9b-6fd6-48ad-874c-5127ccbe0ad2
Kraftwerk Schwarze Pumpe;LEAG;Sachsen;875;Teilgenehmigung liegt vor;30.04.2029;1677375;838687500;16773750000;16,77 Mrd. Euro;Landesdirektion Sachsen;https://www.uvp-verbund.de/trefferanzeige?docuuid=2008dbff-5f94-4b59-8c11-65cc8a42bbf9
Rheinhafen-Dampfkraftwerk Karlsruhe RDK9;EnBW;Baden-Württemberg;850;in Planung;22.07.1905;1629450;814725000;16294500000;16,29 Mrd. Euro;Regierungspräsidium Karlsruhe;https://www.enbw.com/unternehmen/themen/kohleausstieg/rheinhafen-dampfkraftwerk-karlsruhe/
Kraftwerk Scholven II;Uniper;Nordrhein-Westfalen;835;angekündigt;22.07.1905;1600695;800347500;16006950000;16,01 Mrd. Euro;Bezirksregierung Münster;https://www.uniper.energy/de/deutschland/kraftwerke-deutschland/scholven
Kraftwerk Weisweiler;RWE;Nordrhein-Westfalen;800;in Genehmigung;22.07.1905;1533600;766800000;15336000000;15,34 Mrd. Euro;Bezirksregierung Köln;https://www.uvp-verbund.de/trefferanzeige?docuuid=517d7250-56d8-4989-b364-4c1f64c8e319
Gersteinwerk L (Werne);RWE;Nordrhein-Westfalen;800;in Genehmigung;22.07.1905;1533600;766800000;15336000000;15,34 Mrd. Euro;Bezirksregierung Arnsberg;https://www.rwe.com/presse/rwe-generation/2024-05-29-rwe-plant-wasserstofffaehiges-gaskraftwerk-in-werne/
Kraftwerk Voerde;RWE;Nordrhein-Westfalen;800;in Genehmigung;22.07.1905;1533600;766800000;15336000000;15,34 Mrd. Euro;Bezirksregierung Düsseldorf;https://www.rwe.com/presse/interviews/in-diesen-nrw-staedten-plant-rwe-neue-gaskraftwerke/
Kraftwerk Schkopau;Saale Energie;Sachsen-Anhalt;783;in Genehmigung;21.07.1905;1500411;750205500;15004110000;15,00 Mrd. Euro;Landesverwaltungsamt Sachsen-Anhalt;https://www.uvp-verbund.de/trefferanzeige?docuuid=f530c838-ed0a-4df4-8f86-b24ab6b0c123
Kraftwerk Heilbronn HLB 8;EnBW;Baden-Württemberg;675;In Bau;3./4. Quartal 2027;1293975;646987500;12939750000;12,94 Mrd. Euro;Regierungspräsidium Stuttgart;https://www.uvp-verbund.de/trefferanzeige?docuuid=59b969fd-2031-40ce-8d88-cbc3846e7a08
Heizkraftwerk Altbach/Deizisau 3 GuD;EnBW;Baden-Württemberg;665;In Bau;1. Quartal 2027;1274805;637402500;12748050000;12,75 Mrd. Euro;Regierungspräsidium Stuttgart;https://www.uvp-verbund.de/trefferanzeige?docuuid=8ea610cb-12f5-4bc6-8dc7-439498b5e991
Kraftwerk Weiher/Quierschied;Iqony;Saarland;600;in Planung;;1150200;575100000;11502000000;11,50 Mrd. Euro;Ministerium für Umwelt, Klima, Mobilität, Agrar und Verbraucherschutz;https://www.iqony.energy/standortentwicklung/uebersicht-standortentwicklung
Gaskraftwerk Leipheim II;LEAG;Bayern;550;in Planung;;1054350;527175000;10543500000;10,54 Mrd. Euro;Regierung von Schwaben;https://www.leag.de/de/gigawattfactory/h2-kraftwerke/
GuD-Kraftwerk Hamm-Uentrop;Trianel;Nordrhein-Westfalen;500;in Planung;;958500;479250000;9585000000;9,59 Mrd. Euro;Bezirksregierung Arnsberg;https://www.trianel-hamm.de/pressemeldungen/trianel-gaskraftwerk-hamm-soll-um-einen-dritten-wasserstofffaehigen-kraftwerksblock-ergaenzt-werden
Zukunftskraftwerk Mainz;Kraftwerke Mainz-Wiesbaden AG;Rheinland-Pfalz;250;in Genehmigung;21.07.1905;479250;239625000;4792500000;4,79 Mrd. Euro;Struktur- und Genehmigungsdirektion Süd;https://www.kmw-ag.de/zkw-in-planung/
GuD Dradenau;Hamburger Energiewerke;Hamburg;180;In Bau;Ende 2026;345060;172530000;3450600000;3,45 Mrd. Euro;Behörde für Umwelt, Klima, Energie und Agrarwirtschaft Hamburg;https://www.hamburger-energiewerke.de/energiewende/energiewende-in-hamburg/kohleausstieg/energiepark-hafen
Kraftwerk Fenne/Völklingen;Iqony;Saarland;150;in Planung;;287550;143775000;2877500000;2,88 Mrd. Euro;Ministerium für Umwelt, Klima, Mobilität, Agrar und Verbraucherschutz;https://www.iqony.energy/standortentwicklung/uebersicht-standortentwicklung
Kernkraftwerk Gundremmingen;RWE;Bayern;120;in Genehmigung;09-2027;230040;115020000;2300400000;2,30 Mrd. Euro;Regierung von Schwaben;https://www.uvp-verbund.de/trefferanzeige?docuuid=3ce3f077-ed5b-4298-9dd5-6dfebe74c2f7
KMW Motorenkraftwerk;Kraftwerke Mainz-Wiesbaden AG;Rheinland-Pfalz;54;in Genehmigung;19.07.1905;103518;51759000;1035180000;1,04 Mrd. Euro;Struktur- und Genehmigungsdirektion Süd;https://www.kmw-ag.de/zukunftsplaene/motorenkraftwerk/
HKW III/C Modul A – K;Stadtwerke Duisburg;Nordrhein-Westfalen;47;in Genehmigung;31.12.2028;90099;45049500;900990000;0,90 Mrd. Euro;Bezirksregierung Düsseldorf;https://www.stadtwerke-duisburg.de/
Wärmekraftwerk Zolling Motor 1-4;Onyx Wärmekraftwerk Zolling;Bayern;42;in Planung;05.04.2027;80514;40257000;805140000;0,81 Mrd. Euro;Regierung von Oberbayern;https://www.onyxpower.de/zolling/
